Volume of imports of major arms by the top 10000 largest recipients  1980-2024;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:23 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1980-2024,,Recipient,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1980-2024, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,Kuwait,35,13,173,251,454,619,167,50,6,132,324,515,896,694,36,646,1209,482,46,198,226,67,22,42,2,12,5,288,5,8,87,116,31,73,701,317,147,113,96,55,67,1565,1569,497,388,13445,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,Libya,2951,3155,2752,1422,730,746,401,184,9,218,11,,,,,,,,,6,,,,,,1,16,16,16,22,37,8,75,119,,,2,,,34,0,,,34,5,12969,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,Afghanistan,632,553,455,269,394,158,210,489,927,1820,1612,1236,,,,,,,,,,,34,,,33,3,40,148,326,365,632,518,253,323,131,170,235,312,379,231,65,,,,12954,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,Norway,254,435,457,441,337,122,141,192,308,600,435,321,253,180,93,66,151,164,158,151,234,99,95,9,6,14,559,598,602,569,150,607,147,51,16,143,142,353,520,389,459,503,700,200,379,12802,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,5,4,67,31,18,44,2967,4294,5341,12793,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,Thailand,318,350,81,247,360,185,162,539,623,284,235,575,429,182,608,530,741,910,62,160,77,109,152,131,138,115,99,8,16,63,60,252,278,383,107,184,346,317,636,293,141,151,271,290,73,12269,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,Italy,468,129,241,303,273,205,198,183,179,196,155,210,192,205,180,322,265,474,56,25,278,234,240,617,490,136,384,467,159,94,98,286,189,71,127,237,734,709,275,178,201,211,237,425,494,12029,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,Germany,150,261,453,434,412,130,322,340,447,701,757,750,716,529,417,222,244,60,618,129,113,133,71,70,245,206,413,46,277,329,301,79,140,103,77,119,55,43,14,38,105,235,269,203,240,12015,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,Soviet Union,767,804,671,725,914,1004,1422,1500,1654,1206,655,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11454,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,Brazil,338,61,72,88,123,82,139,234,125,742,140,161,98,66,311,267,547,476,200,308,86,573,221,110,85,223,178,188,178,135,256,231,317,217,201,202,111,96,258,125,134,240,469,193,450,10054,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,Morocco,469,800,529,396,74,50,31,32,117,126,137,62,17,98,117,28,89,220,,60,127,11,155,12,14,101,47,27,46,39,347,1289,1052,62,572,47,287,605,462,48,16,53,507,501,130,10003,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,Venezuela,361,908,698,241,234,517,92,73,105,120,189,318,72,37,1,5,37,39,8,85,108,106,44,15,9,21,380,770,741,366,211,600,692,1006,186,138,95,,14,,79,,,98,,9818,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,Chile,150,147,339,135,513,28,173,155,84,133,132,102,179,84,81,330,163,280,80,206,230,60,75,188,64,446,1097,659,395,329,474,326,61,55,135,135,70,49,74,16,304,66,207,9,14,9029,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,East Germany (GDR),894,853,1060,952,1174,1330,697,393,624,645,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9020,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,Malaysia,127,56,25,275,543,405,141,5,14,37,,33,13,13,308,828,32,553,39,721,26,26,154,190,68,57,184,498,493,1284,213,4,19,82,75,118,270,197,93,68,51,133,71,11,7,8560,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,Jordan,359,401,1061,634,629,292,206,133,243,74,16,24,,1,5,19,75,77,248,63,139,160,132,281,168,79,50,180,157,230,87,211,185,72,194,228,243,363,170,213,148,67,50,22,34,8424,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,Czechoslovakia,470,826,899,808,921,1164,815,669,593,875,280,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8378,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,Bulgaria,580,984,610,754,945,619,932,449,253,314,755,339,42,1,1,1,122,,,7,,,,2,13,132,22,48,117,119,8,29,5,,,4,,,,2,44,1,3,,,8256,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
