Volume of imports of major arms by the top 10000 largest recipients  1950-1980;
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 10 May 2026 10:15:54 AM

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rank 1950-1980,,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1950-1980, Share of global arms imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,Spain,1,11,11,95,138,228,284,282,199,329,214,103,55,15,51,382,307,303,133,181,234,637,793,895,557,1161,831,312,432,650,689,10509,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,Pakistan,170,169,145,95,95,152,187,537,336,313,46,41,84,225,96,222,592,151,415,542,422,553,664,177,225,223,276,271,655,697,900,9677,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,,Sweden,242,298,330,410,289,400,541,253,164,253,227,165,177,335,400,324,299,318,189,172,137,160,196,231,256,292,214,114,229,233,291,8135,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,,Brazil,,615,,133,112,379,55,134,120,130,236,212,62,127,25,149,57,218,236,108,217,171,520,598,256,538,551,525,832,375,338,8029,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,Algeria,,,,,,,,,,,,7,63,90,181,354,439,525,58,79,14,14,180,110,13,56,130,1052,1267,1823,1337,7792,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,Cuba,,8,12,13,20,3,35,11,23,10,153,524,1337,288,252,135,232,163,155,155,155,162,452,420,408,200,316,609,503,410,349,7511,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,South Vietnam,,,,0,45,87,121,28,20,20,43,111,165,132,85,131,199,261,308,590,656,978,2551,629,352,,,,,,,7511,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,Saudi Arabia,0,,7,1,0,18,10,108,14,6,6,8,22,,5,48,227,222,448,416,87,10,130,202,547,372,702,1019,1014,767,1085,7502,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,South Africa,37,73,181,51,47,105,253,207,169,68,13,,232,520,302,386,496,299,217,211,511,309,291,369,177,235,419,500,389,125,192,7382,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,Indonesia,195,58,14,6,16,25,42,16,687,576,448,780,1026,206,596,317,17,1,0,9,27,92,5,73,73,4,156,62,124,370,898,6921,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,Peru,2,24,85,17,111,35,175,117,30,175,191,96,14,24,18,52,65,26,188,96,35,157,198,476,561,555,373,933,748,641,676,6892,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,Denmark,44,132,397,616,286,175,234,125,111,203,142,335,61,137,491,455,66,72,77,19,212,384,156,,39,89,389,391,360,55,480,6735,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,Norway,110,123,426,421,19,170,281,144,149,119,153,93,60,227,260,368,759,685,289,538,154,82,68,63,55,49,35,27,24,47,254,6251,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,Argentina,85,445,38,4,5,0,39,13,69,161,111,205,47,29,19,7,93,143,430,230,257,363,402,248,450,268,499,204,434,451,445,6193,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,Switzerland,147,144,303,157,130,218,301,211,229,289,218,37,4,52,263,228,373,177,199,166,142,153,192,123,64,136,142,4,217,226,272,5519,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,Portugal,9,21,120,286,373,165,90,153,109,62,35,157,28,41,46,39,244,286,371,339,371,267,17,17,118,327,64,94,130,7,36,4419,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,Venezuela,59,,25,195,135,64,400,275,120,9,64,32,32,34,6,,69,205,20,8,15,130,165,395,252,230,170,216,59,14,361,3758,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,Jordan,0,,7,0,6,13,30,15,44,4,53,26,66,39,33,56,95,126,48,173,147,90,87,56,132,372,383,457,576,256,359,3749,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,Thailand,62,91,45,25,70,49,10,88,15,10,28,52,113,111,84,87,58,140,88,121,258,243,147,321,114,90,154,111,192,326,318,3620,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,Afghanistan,,,,,,4,4,100,225,275,39,55,64,40,56,91,198,230,145,166,120,25,,,47,137,230,75,156,449,632,3563,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,Morocco,,,,,,,28,14,10,13,22,37,93,16,16,82,159,149,93,41,80,1,,21,198,207,216,408,419,725,469,3517,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,Chile,1,247,32,10,42,5,66,32,50,20,308,38,19,123,38,49,74,150,62,13,77,185,51,278,272,196,387,72,192,147,150,3388,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
